Qty,PN,Description,Reference
3,NL2FXX-W-S,"PLUG, NEUTRIK SPEAKON, 2 POS","0A1W1P1, 0A1W1P2, 3A1W4P1"
2,CA-USB3-AM-BM-10FT,"CABLE, USB-A MALE TO USB-B MALE, USB 3.2, 10'L","0A1W2, 0A2W1"
9,ABSIS-CA-C-XXX,"CABLE, ABSIS, TYPE-C","0A1W3, 0A2W2, 1A1W1, 2A14W1, 2A14W2, 2A14W3, 2A14W4, 4A13A1W8, 5A11A1W8"
47,ABSIS-CA-B-XXX,"CABLE, ABSIS, TYPE-B","0A1W4, 0A1W5, 0A2W3, 0A2W4, 1A1W2, 1A1W12, 1A1W13, 1A1W14, 1A1W15, 2A1W12, 2A1W13, 2A1W14, 2A1W18, 2A1W19, 2A13W3, 2A13W4, 2A13W5, 2A13W6, 2A13W7, 2A13W8, 2A13W9, 2A13W10, 4A1W12, 4A1W13, 4A1W14, 4A1W15, 4A1W16, 4A1W17, 4A1W18, 4A1W19, 4A1W20, 4A1W21, 4A1W22, 4A13A1W6, 4A13A1W7, 5A1W11, 5A1W12, 5A1W13, 5A1W14, 5A1W15, 5A1W16, 5A1W17, 5A1W18, 5A1W19, 5A1W20, 5A11A1W6, 5A11A1W7"
2,39-01-2220,"CONN, PLUG, HSG, 22POS, 2ROW, 4.20MM, MOLEX 5557 MINI-FIT JR","0A1W6P1, 0A1W6P2"
8,P568-010-FL,"CABLE, HDMI-A, M-M, 10'L, SHLD","1A1W3, 1A1W4, 2A2A1A3W1, 2A4A1A1W1, 2A7A1A6W1, 2A7A1A7W1, 2A11A1W1, 2A11A1W2"
7,ABSIS-CA-J-XXX,"CABLE, ABSIS, TYPE-J","1A1W5, 1A1W6, 1A1W7, 2A14W6P1, 2A14W6P8, 2A14W7P1, 2A14W8P1"
10,PP-002D-01,"CONN, BARREL, POWER, MALE, 1.35 ID X 3.5 OD X 9MM L","1A1W5P1, 1A1W5P2, 2A14W7P2, 2A14W7P3, 2A14W7P4, 4A1W11P3, 4A1W11P4, 4A1W11P5, 5A1W10P2, 5A1W10P3"
12,M20-1060200,"CONN, RCPT, HSG, 2POS, 1ROW, 2.54MM, ""DUPONT""","1A1W6P3, 2A5A1W2P5, 2A5A1W2P6, 2A7A1A1SW2P1, 2A7A1W1P2, 2A7A1W3P2, 4A1W11P6, 5A2A4W1P1, 5A2A4W2P1, 5A2A4W3P1, 5A2A4W6P3, 5A2A4W6P4"
5,PHR-4,"CONN, PLUG, HSG, 4POS, 2.00MM, JST PH","1A1W6P4, 1A1W6P5, 2A14W6P2, 2A14W6P3, 4A9A1W2P1"
30,ABSIS-CA-A-XXX,"CABLE, ABSIS, TYPE-A","1A1W8, 1A1W9, 1A1W10, 1A1W11, 2A1W1, 2A1W2, 2A1W3, 2A1W4, 3A1W2, 3A1W3, 4A1W1, 4A1W2, 4A1W3, 4A1W4, 4A1W5, 4A1W6, 4A1W7, 4A1W8, 4A1W9, 4A1W10, 4A1W?, 5A1W1, 5A1W2, 5A1W3, 5A1W4, 5A1W5, 5A1W6, 5A1W7, 5A1W8, 5A1W9"
19,AK67421-2,"CABLE, USB-A MALE TO USB MICRO-B MALE, USB 2.0, 2.0m L","1A1W16, 1A1W17, 1A1W18, 1A1W19, 1A1W20, 1A1W21, 2A1A1W1, 4A1W23, 4A1W24, 4A1W25, 4A1W26, 4A1W27, 4A1W28, 4A13A1W10, 5A1W21, 5A1W22, 5A1W23, 5A1W24, 5A11A1W10"
2,USBCM303M0USBAMBKR,"CABLE, USB-A MALE TO USB-C MALE, USB 3.2, 3.0m L","1A1W22, 4A1W32"
2,45210,"CONN, RCPT, 2POS, 2.54MM, MOLEX KK254","1A2W1P1, 2A5A1W1P5"
9,48863,"CONN, RCPT, 3POS, 2.54MM, MOLEX KK254","1A2W1P2, 1A3A1W3P5, 1A3A1W4P4, 1A3A1W5P8, 1A9A1W3P5, 1A9A1W4P4, 1A9A1W5P8, 2A3A1W3P1, 2A3A1W4P1"
36,M20-1070600,"CONN, RCPT, HSG, 12POS, 2ROW, 2.54MM, ""DUPONT""","1A2W1P3, 1A6W1P3, 1A7W1P3, 1A7W2P4, 2A2A1W1P3, 2A2A1W1P4, 2A4A1W1P3, 2A4A1W2P4, 2A5A1W1P4, 2A5A1W2P3, 3A2A1W1P3, 3A2A1W2P4, 4A2A1W1P3, 4A3A1W1P3, 4A3A1W2P4, 4A3A3W1P3, 4A3A3W2P4, 4A4A2W1P3, 4A5A1A1W1P1, 4A5A2W1P4, 4A6A1W1P4, 4A7A2W1P1, 5A2W1P3, 5A2W1P4, 5A5A1W1P3, 5A5A1W2P4, 5A6A1P3, 5A6A1P4, 5A7A1W1P3, 5A7A1W2P4, 5A8A1W1P3, 5A8A1W2P4, 5A9A1W1P3, 5A9A1W2P4, 5A10W1P3, 5A10W1P4"
5,59820,"CONN, RCPT, 6POS, 2.54MM, MOLEX KK254","1A3A1W1P1, 1A3A1W1P3, 1A9A1W1P1, 1A9A1W1P3, 2A3A1W1P1"
3,52515,"CONN, RCPT, 4POS, 2.54MM, MOLEX KK254","1A3A1W2P6, 1A9A1W2P6, 2A3A1W2P1"
7,M20-1060400,"CONN, RCPT, HSG, 4POS, 1ROW, 2.54MM, ""DUPONT""","1A8A1W1P1, 1A8W2P1, 1A8W7P1, 2A5A1W2P4, 2A15W3P1, 2A15W3P2, 5A2A4W6P2"
8,M20-1060300,"CONN, RCPT, HSG, 3POS, 1ROW, 2.54MM, ""DUPONT""","1A8W3P1, 1A8W4P1, 1A8W8P1, 1A8W9P1, 2A7A1A2RV1P1, 2A7A1A4SW1P1, 5A2A4W4P1, 5A2A4W5P1"
3,M20-1070300,"CONN, RCPT, HSG, 6POS, 2ROW, 2.54MM, ""DUPONT""","1A8W5P1, 1A8W5P2, 2A2A1W1P5"
3,SMR-06V-B,"CONN, RCPT, HSG, 6POS, 2.50MM, JST SM","2A2A1A3W1J1, 4A7A4J1, 5A10A1W1J1"
5,SMR-05V-B,"CONN, RCPT, HSG, 5POS, 2.50MM, JST SM","2A2A1A3W1J?, 4A5A2W2P1, 4A8A1W1P1, 5A5A2W1J1, 5A10A2W1J1"
4,M20-1070400,"CONN, RCPT, HSG, 8POS, 2ROW, 2.54MM, ""DUPONT""","2A2A1W1P6, 2A15W2P1, 5A2W1P1, 5A2W1P6"
3,SMP-06V-BC,"CONN, PLUG, HSG, 6POS, 2.50MM, JST SM","2A2A1W1P7, 4A7A1W3J1, 5A10W1P7"
1,M20-1060600,"CONN, RCPT, HSG, 6POS, 1ROW, 2.54MM, ""DUPONT""",2A3A1W1P2
4,M20-1070500,"CONN, RCPT, HSG, 10POS, 2ROW, 2.54MM, ""DUPONT""","2A4A1W1P4, 2A7A1W1P1, 2A7A1W3P1, 5A2A4W6P1"
6,SMP-05V-BC,"CONN, PLUG, HSG, 5POS, 2.50MM, JST SM","2A4A1W2P5, 2A13W3J1, 4A5A2W1J1, 4A5A2W1J2, 5A10W1P5, 5A10W1P6"
3,SMP-08V-BC,"CONN, PLUG, HSG, 8POS, 2.50MM, JST SM","2A5A1W1P6, 2A12A1W5J2, 4A13A1W5J2"
3,SMR-08V-B,"CONN, RCPT, HSG, 8POS, 2.50MM, JST SM","2A5A1W3J1, 2A15W2P2, 10A1A1W1P1"
1,M20-1060500,"CONN, RCPT, HSG, 5POS, 1ROW, 2.54MM, ""DUPONT""",2A7A1A1SW1P1
5,M20-1070200,"CONN, RCPT, HSG, 4POS, 2ROW, 2.54MM, ""DUPONT""","2A7A1W1P3, 2A7A1W1P4, 2A7A1W3P3, 2A7A1W3P4, 4A3A3W2P6"
2,M20-1070700,"CONN, RCPT, HSG, 14POS, 2ROW, 2.54MM, ""DUPONT""","2A7A1W2P1, 2A7A1W2P2"
1,F-1020,"MODULE, RELAY, MOTOR, FWD & REV, 12V 10A, OONO",2A8A1A1
1,39-01-3029,"CONN, PLUG, HSG, 2POS, 2ROW, 4.20MM, MOLEX 5559 MINI-FIT JR",2A8A1W1P1
1,X502-1,"AMPLIFIER, MONO, CLASS D, 1000W MAX, KENWOOD",2A10
1,P316-06N,"ADAPTER, CABLE, FEMALE 3.5mm STEREO TO RCA PLUG",2A10A2
